vm	ir	sag	tau	resf	resmag	spkthr	spkmax	spkhlf	rheo	ahp	fi	dvloc	id	expr	totalcells	classification
-68.7607356012474	48.0567170908438	0.720692397906642	11.7760884614965	4.85	1.18202469558191	-45.2681243896484	52.4599990844727	0.54	221.25	-56.3812484741211	NaN	200	mouse_20141031	HP	15	Pyr
-73.7380097939139	28.4242755804832	0.693035954288024	7.20230044591418	1	1	-41.0479176839193	28.1437498728434	0.65	1973.125	-55.6124992370605	NaN	744	mouse_20141031	HP	15	Int
-71.0543793306812	50.9525378740637	0.76177232403333	13.2880267909086	6.3	1.05697987090567	-44.1162498474121	46.2668746948242	0.58	378.125	-56.4656257629395	0.0239343078023299	904	mouse_20141031	HP	15	Pyr
-63.9565643091188	57.2591604867985	0.772568167155846	11.6553466521196	4.6	1.26449656847264	-41.8949996948242	50.9925010681152	0.53	153.125	-56.9937515258789	0.119708341414588	1120	mouse_20141031	HP	15	Pyr
-63.0471085231272	51.6165349987912	0.73975337689484	16.6319580570277	4.9	1.29396795744601	-39.1224998474121	49.3681251525879	0.53	183.75	-55.2062492370605	0.0980561927379417	1160	mouse_20141031	HP	15	Pyr
-67.9208848191377	58.9239497405892	0.745314791579279	13.6862668747898	1	1	-41.9737503051758	45.5075004577637	0.55	309.375	-57.2281265258789	0.0136632178734655	1200	mouse_20141031	HP	15	Pyr
-68.8479821002802	55.7841290497713	0.714416187194392	13.2918293604542	1	1	-40.1349998474121	46.4881248474121	0.63	210.625	-56.25	0.0155360829226999	1424	mouse_20141031	HP	15	Pyr
-63.7679607118573	60.6839078075985	0.820933109263952	13.7796998602467	3.45	1.16720941146446	-38.9106246948242	46.2118759155273	0.62	137.5	-57.484375	0.0148457720130346	1488	mouse_20141031	HP	15	Pyr
-64.5788272671282	51.3022117552425	0.707631276144973	17.7064941028229	5.4	1.27526510650686	-41.1050010681152	51.2731254577637	0.62	194.375	-54.7000007629395	0.0233209383355789	1832	mouse_20141031	HP	15	Pyr
-65.6366560854383	64.1530310307137	0.81535799301803	15.9017400535931	3.75	1.10376917088149	-37.2718742370605	51.1018753051758	0.67	195.625	-54.359375	0.0574054480534519	1920	mouse_20141031	HP	15	Pyr
-65.355681009037	76.812025807857	0.769053732899128	18.3149902292886	5.8	1.2571376338486	-38.7275001525879	49.1093757629395	0.63	135	-56.1624984741211	0.0466286751680366	NaN	mouse_20141031	HP	15	Pyr
-61.267033763716	57.8711486282385	0.954741232126701	13.8234746383914	2.25	1.01818262385276	-35.0712608337402	41.9641716003418	0.65	273.445831298828	-48.3809928894043	0.0797921185727127	1120	mouse_20141031	DG	15	Pyr
-66.174085316836	46.2672481710378	0.756144034140996	16.1512361796668	4.85	1.16888935418775	-40.531632232666	44.520401763916	0.62	244.148071289062	-50.065616607666	0.0924287522146827	760	mouse_20141031	DG	15	Pyr
-73.4199446320885	48.7254010949584	0.852989399420588	13.9329971704766	1.05	1.0288685063087	-38.7273773193359	43.8050476074219	0.64	371.715454101562	-50.2945022583008	0.0303985083426548	744	mouse_20141031	DG	15	Pyr
-75.0646393832496	72.1954479503852	0.903257525496781	12.9829072973442	1.3	1.01109069300218	-30.364086151123	43.9576400756836	0.6	255.745101928711	-45.4115409851074	0.0910837463966649	400	mouse_20141031	DG	15	Pyr
-66.9998402515914	47.5830749489083	0.778778935383931	19.3953803044793	5.1	1.05631518119605	-40.1018737792969	50.7099998474121	0.63	231.25	-51.609375	0.0478545718101225	984	mouse_20141103	HP	23	Pyr
-67.6358934776913	72.8975136948966	0.767830748055526	15.7085607858125	3.55	1.08610809158532	-40.709375	51.2218757629395	0.6	160	-52.84375	0.0268377798203551	952	mouse_20141103	HP	23	Pyr
-67.6726407649851	49.1010379611312	0.8134598171729	14.1501789883925	4.5	1.00000644058674	-41.1268745422363	49.7762496948242	0.61	240	-52.4375	0.0646188048371251	928	mouse_20141103	HP	23	Pyr
-69.7246608570797	53.3353586358515	0.809342667686317	13.6516816882164	1	1	-39.4699996948242	48.7356254577637	0.59	260.625	-52.265625	0.0478708570850397	936	mouse_20141103	HP	23	Pyr
-70.9120823046933	55.4173893264494	0.970559030444672	32.5229317469711	4.25	1.27704714552521	-38.6968757629395	48.5931251525879	0.67	293.75	-52.2468757629395	0.0363883556097024	928	mouse_20141103	HP	23	Pyr
-67.387184068818	63.8415982040097	0.775239672841571	17.7304971620548	5.25	1.42201143858433	-41.5637496948242	51.0800003051758	0.55	186.25	-55.7249984741211	0.0351765097257554	648	mouse_20141103	HP	23	Pyr
-67.405201393912	56.3144260643661	0.764259264651391	13.8495325669416	4.55	1.08769158652794	-41.8300003051758	49.3693756103516	0.57	177.5	-54.3968734741211	0.0292740456251579	680	mouse_20141103	HP	23	Pyr
-64.8781207348817	62.8918480778918	0.743936939190725	14.8105646226827	5.35	1.25947245004518	-42.2974998474121	47.8106262207031	0.53	243.125	-53.9156265258789	0.0191617602192182	656	mouse_20141103	HP	23	Pyr
-73.6807861626706	42.877312857836	0.964076997061102	8.81800949659345	1	1	-42.4837501525879	33.5437507629395	0.55	1060	-54.9718742370605	0.0301499687731769	672	mouse_20141103	HP	23	Int
-71.0498983103677	24.4004520028242	0.613795639442906	10.3632251785116	4.35	1.07728814518774	-43.3868759155273	29.5074996948242	0.59	1310.625	-57.6281242370605	NaN	688	mouse_20141103	HP	23	Int
-61.3352167165695	99.6235660897308	0.807522692892093	33.8638491856379	1.1	1.09468940857574	-41.8043746948242	50.3356254577637	0.54	80	-57.0968742370605	0.0771189774911974	312	mouse_20141103	HP	23	Pyr
-67.9797932084515	57.3186210819531	0.743072777551683	12.0080094671116	5.1	1.17827259712631	-43.0474998474121	47.9662506103516	0.54	275.625	-57.1656265258789	0.0130084666044042	336	mouse_20141103	HP	23	Pyr
-67.0724794944833	53.8396630492136	0.771700845391335	10.7202158508868	5.25	1.49861828511342	-45.409375	49.7724998474121	0.5	286.25	-58.6875	0.0235424977597646	240	mouse_20141103	HP	23	Pyr
-67.941194910215	74.9979359076703	0.800670113343267	10.6960167768838	1	1	-45.3037498474121	47.05625	0.5	208.125	-57.25	0.0247418078541858	208	mouse_20141103	HP	23	Pyr
-64.8644562527465	69.6339923140812	0.747676908361187	23.6696936470098	4.35	1.84595442327056	-38.664510345459	47.5130477905273	0.56	163.579208374023	-52.4521636962891	0.110745012089575	1920	mouse_20141103	DG	23	Pyr
-66.9698056392052	56.6799023689289	0.79371352046427	19.3282282300858	3.8	1.13414922038537	-42.7399520874023	47.3720504760742	0.56	182.500686645508	-54.8783836364746	0.0683348332199025	600	mouse_20141103	DG	23	Pyr
-67.3955718083132	53.6293401442319	0.816320731221294	12.5697156338723	3.35	1.07829480034528	-39.5904418945313	49.0749839782715	0.57	244.148071289062	-52.6810493469238	0.117202832170445	632	mouse_20141103	DG	23	Pyr
-66.7302478607716	49.7005986060221	0.80536465458995	13.5659221382679	4.95	1.21920084423069	-41.2286758422852	44.8921165466309	0.54	249.031036376953	-52.6444282531738	0.0270407316520396	712	mouse_20141103	DG	23	Pyr
-70.4679723394787	50.7997066059116	0.849186578268155	19.7709404029657	3.35	1.23481107014322	-35.5943473815918	47.5154876708984	0.66	251.472518920898	-51.4786224365234	0.0791352391049766	736	mouse_20141103	DG	23	Pyr
-65.8760252475014	53.8205276548153	0.834035165871513	15.9949141673527	1.55	1.00525465642966	-37.6757110595703	46.8013549804688	0.68	269.783630371094	-49.891658782959	0.0837325465497379	1024	mouse_20141103	DG	23	Pyr
-64.2983717433199	58.8925109868206	0.796887365912491	17.7320320236193	3.35	1.17580323810363	-31.8076118469238	55.978881072998	0.69	228.888824462891	-45.847957611084	NaN	1144	mouse_20141103	DG	23	Pyr
-63.0887907097502	76.7632371392317	0.793583737659138	19.4120727024706	2.3	1.26105713824101	-27.5765251159668	58.0346076965332	0.63	254.524368286133	-45.649585723877	NaN	1488	mouse_20141103	DG	23	Pyr
-65.9358816183336	79.4475740341849	0.779429309748554	22.58853490749	4.6	1.52356786798773	-37.8698081970215	48.9938049316406	0.65	181.890319824219	-51.6953048706055	0.026244543565318	1944	mouse_20141103	DG	23	Pyr
-64.7759550400666	81.6897773670503	0.839372715646361	32.4271529148987	1.15	1.08112595136646	-40.7368743896484	48.290625	0.6	101.25	-56.265625	0.0238381357293103	NaN	mouse_20141104	HP	11	Pyr
-64.047320905825	54.8398791953031	0.758908680157884	21.7276204463496	1.15	1.01665018735879	-40.7575004577637	48.809375	0.64	163.75	-54.8406257629395	0.0851032016751192	1088	mouse_20141104	HP	11	Pyr
-67.3228567779345	78.4024433515417	0.815317817514121	14.6357525045507	5.35	1.14250389706813	-36.503125	53.1212493896484	0.54	156.25	-56.1437492370605	0.111781641177258	288	mouse_20141104	HP	11	Pyr
-68.8509112063405	59.7193876105833	0.762051957693798	9.82562502826809	1	1	-43.7493751525879	48.2881256103516	0.72	198.75	-60.6343765258789	0.00384508815677967	416	mouse_20141104	HP	11	Pyr
-76.0871217435644	25.7590569327253	0.715286050782579	4.45112844411443	4.95	1.30755314549397	-49.28125	41.4981254577637	0.55	805	-61.0843734741211	0.0416046606696992	672	mouse_20141104	HP	11	Int
-68.2978197924678	57.741474928977	0.801983584288236	14.2252319178594	2.25	1.36887630075244	-39.9712509155273	49.3037498474121	0.58	243.75	-53.5843734741211	0.0398256561510698	664	mouse_20141104	HP	11	Pyr
-69.3714614652012	69.322263220702	0.808307295002137	22.1529569009306	4.4	1.04074408033989	-37.3806251525879	48.6450004577637	0.63	212.5	-53.140625	0.0154607342693945	1320	mouse_20141104	HP	11	Pyr
-65.1492648946177	57.0066528464097	0.778510062137581	15.5115291866843	3.5	1.07624440996553	-39.5962501525879	51.4724990844727	0.64	216.875	-54.2999992370605	0.0475048751896211	1624	mouse_20141104	HP	11	Pyr
-73.8826598884486	49.7965965853074	0.760731512795505	10.3136287342261	4.1	1.04927674399108	-41.5262496948242	44.1443740844727	0.6	674.375	-57.7687492370605	0.031350439811444	1632	mouse_20141104	HP	11	Int
